timestamp,game_number,difficulty,status,time_taken,completion,flags_placed,guesses_made,moves_total
2025-12-06 22:19:36,27,intermediate,fail,0.92,17.2%,0,4,4
2025-12-06 22:20:01,28,intermediate,fail,6.42,82.8%,25,6,83
2025-12-06 22:20:37,29,intermediate,fail,0.68,16.0%,0,1,1
2025-12-06 22:21:26,30,expert,fail,27.67,98.5%,92,8,322
2025-12-06 22:22:04,31,expert,fail,23.17,95.6%,90,5,309
2025-12-06 22:22:25,32,expert,fail,1.09,22.1%,3,1,5
2025-12-06 22:23:01,33,expert,fail,4.06,31.7%,15,6,41
2025-12-06 22:23:34,34,expert,fail,18.07,77.5%,60,11,218
2025-12-06 22:24:00,35,expert,fail,0.71,20.8%,0,1,1
2025-12-06 22:24:26,36,expert,fail,11.51,71.0%,47,2,151
2025-12-06 22:25:06,37,expert,fail,24.25,99.0%,95,2,301
2025-12-06 22:25:21,38,expert,fail,1.2,22.7%,1,5,6
2025-12-06 22:25:36,39,expert,fail,1.04,24.6%,2,0,5
2025-12-06 22:25:54,40,expert,fail,1.36,24.6%,1,4,8
2025-12-06 22:26:14,41,expert,fail,1.05,21.5%,0,4,4
2025-12-06 22:26:31,42,expert,fail,5.04,35.0%,19,14,53
2025-12-06 22:26:50,43,expert,fail,2.22,26.7%,3,1,20
2025-12-06 22:27:26,44,expert,fail,21.49,91.2%,82,0,278
2025-12-06 22:28:10,45,expert,fail,28.91,99.6%,97,4,303
2025-12-06 22:28:49,46,expert,fail,23.19,94.0%,82,9,273
2025-12-06 22:29:30,47,expert,fail,26.87,99.2%,96,1,347
2025-12-06 22:29:50,48,expert,fail,1.94,27.1%,3,5,14
2025-12-06 22:30:06,49,expert,fail,1.27,21.9%,0,6,6
2025-12-06 22:31:56,50,expert,fail,0.74,20.8%,0,1,1
2025-12-06 22:32:20,51,expert,fail,0.75,20.8%,0,1,1
2025-12-06 22:32:33,52,expert,fail,0.82,21.0%,0,2,2
2025-12-06 22:32:46,53,expert,fail,0.74,20.8%,0,1,1
2025-12-06 22:33:09,54,expert,fail,9.96,52.9%,31,12,111
2025-12-06 22:33:42,55,expert,fail,1.87,24.2%,4,3,14
2025-12-06 22:34:06,56,expert,fail,0.9,21.2%,0,3,3
2025-12-06 22:34:36,57,expert,fail,2.62,26.7%,6,1,26
2025-12-06 22:35:22,58,expert,fail,27.64,96.9%,89,2,323
2025-12-06 22:35:43,59,expert,fail,0.72,21.5%,0,1,1
2025-12-06 22:35:57,60,expert,fail,2.52,28.7%,5,6,21
2025-12-06 22:36:27,61,expert,fail,0.91,21.2%,0,3,3
2025-12-06 22:37:01,62,expert,fail,20.26,93.5%,79,2,249
2025-12-06 22:37:48,63,expert,fail,26.72,96.9%,92,3,347
2025-12-06 22:38:51,64,expert,fail,0.85,21.0%,0,2,2
2025-12-06 22:39:21,65,expert,fail,0.74,20.8%,0,1,1
2025-12-06 22:39:26,66,expert,fail,0.83,21.0%,0,2,2
2025-12-06 22:39:42,67,expert,fail,12.31,59.8%,54,3,153
2025-12-06 22:40:08,68,expert,fail,0.93,21.2%,0,3,3
2025-12-06 22:40:25,69,expert,fail,1.06,21.5%,0,4,4
2025-12-06 22:42:05,70,expert,fail,1.67,22.7%,0,10,10
2025-12-06 22:42:24,71,expert,fail,1.29,23.8%,4,1,8
2025-12-06 22:43:05,72,expert,fail,28.75,98.5%,93,2,344
2025-12-06 22:43:49,73,expert,fail,28.07,96.5%,88,4,332
2025-12-06 22:44:25,74,expert,fail,23.3,99.6%,97,1,314
2025-12-06 22:44:43,75,expert,fail,0.84,22.1%,0,1,2
2025-12-06 22:44:55,76,expert,fail,1.03,21.5%,0,4,4
2025-12-06 22:45:20,77,expert,fail,13.22,66.9%,50,3,171
